year,y,horizon_minutes
2021.0,3.817193919118249,0.23736911165109187
2021.054,3.868134851867728,0.24593413618666765
2021.108,3.91991762216544,0.25495752290256074
2021.162,3.9725588364388105,0.26446991412972803
2021.215,4.025076373745613,0.2743136012006866
2021.269,4.079469135673243,0.2848951864091546
2021.323,4.134772154533784,0.2960724282450539
2021.377,4.191003614378895,0.3078870335710893
2021.431,4.24818212184922,0.320384159633162
2021.485,4.306326717381084,0.33361274123334766
2021.538,4.364352807928457,0.3473588825459902
2021.592,4.424469689420746,0.36219799086856513
2021.646,4.485612117879474,0.3779406367194136
2021.7,4.547800978822614,0.394654792542567
2021.754,4.611057652603919,0.4124144469216573
2021.808,4.675404027796473,0.4313002131273037
2021.862,4.740862514979262,0.4514000066680417
2021.915,4.806212391767854,0.4724008027593371
2021.969,4.873942822512163,0.4951982580136667
2022.023,4.9428554224474786,0.5195230813668409
2022.077,5.012974825783651,0.5455006697903244
2022.131,5.084326263981555,0.5732684704552918
2022.185,5.156935582282435,0.6029772995023236
2022.238,5.229449021606443,0.6341834340151233
2022.292,5.304629639555071,0.6682436786430245
2022.346,5.381149008307772,0.7047894627509033
2022.4,5.4590355912106245,0.7440414400141155
2022.454,5.538318555753631,0.7862430880302224
2022.508,5.61902779345668,0.8316633886393492
2022.562,5.7011939403837495,0.880599859393607
2022.615,5.78328552423748,0.9323674572074783
2022.669,5.868432027747718,0.9892790543840705
2022.723,5.955131412461847,1.0507993849410784
2022.777,6.043417495575812,1.1173785089869293
2022.831,6.133324951247008,1.1895174170489002
2022.885,6.224889335389163,1.2677745489837409
2022.938,6.3164045032064005,1.3511338639235302
2022.992,6.411360670649823,1.4434263085590622
2023.046,6.508085265791613,1.5439217388867863
2023.1,6.606617617481623,1.6534926206699065
2023.154,6.706998072441557,1.7731184387607872
2023.208,6.809268025338712,1.903900496042721
2023.262,6.913469949863628,2.0470789836405348
2023.315,7.0176629610480195,2.201011230788157
2023.369,7.12582290142981,2.373060135317451
2023.423,7.2360481741349165,2.562237498699151
2023.477,7.348385878220729,2.7705654207130426
2023.531,7.4628843628048624,3.0003397448432922
2023.585,7.579593264949633,3.2541716708784825
2023.638,7.696339532472433,3.529569817669853
2023.692,7.817580199385629,3.8402661514088514
2023.746,7.941187312926142,4.185198143548102
2023.8,8.067216040030353,4.568804212478193
2023.854,8.195723044535981,4.99617934054232
2023.908,8.326766533559013,5.473183756772848
2023.962,8.460406305495729,6.006571477690032
2024.015,8.59415524289093,6.592441125593498
2024.069,8.733122620775404,7.261777026850282
2024.123,8.874874512371271,8.014585267920436
2024.177,9.019477561893982,8.863001692290583
2024.231,9.167000270298583,9.821163621424109
2024.285,9.31751305435165,10.905577712136722
2024.338,9.468216046957286,12.11133143862595
2024.392,9.62486942423006,13.506205026943897
2024.446,9.784734808374811,15.095429418573316
2024.5,9.947890872870067,16.910329346164144
2024.554,10.114418534526394,18.98792790115666
2024.608,10.284401026547192,21.372097625013037
2024.662,10.45792397426746,24.114966802531274
2024.715,10.631761374696742,27.215807011759193
2024.769,10.812562360297424,30.864567517428444
2024.823,10.997174078259471,35.09544858292124
2024.877,11.185692486017151,40.014926302171936
2024.931,11.378216354269659,45.75132914095042
2024.985,11.574847361186897,52.459797251554015
2025.038,11.771931960210061,60.17090976732292
2025.092,11.97701340987387,69.40060191653585
2025.146,12.186523388404993,80.29309900147894
2025.2,12.400576156757152,93.1893017653897
2025.254,12.619289408619089,108.50813948877291
2025.308,12.84278438823339,126.76624870590517
2025.362,13.071186012753122,148.60306726855998
2025.415,13.300253541789989,174.28224605764544
2025.469,13.538761606123886,205.74604741626212
2025.523,13.782571830724168,243.78792623180968
2025.577,14.03182506677461,289.9597997887483
2025.631,14.286666522838653,346.22002062218655
2025.685,14.547245918872534,415.0501730842054
2025.738,14.808728488253012,497.8768856875873
2025.792,15.081138233964365,601.7908465059182
2025.846,15.359760693432497,730.5445492989378
2025.9,15.644765201180245,890.792433436072
2025.954,15.936326467185772,1091.1584489136692
2026.008,16.23462477186706,1342.8734504094664
2026.062,16.53984616901692,1660.6363850789867
2026.115,16.846332846225565,2055.400154976369
2026.169,17.16584547556773,2567.170595978299
2026.223,17.492872305458118,3223.1751367803945
2026.277,17.82762455917778,4068.6257302018385
2026.331,18.1703203761722,5164.30833061879
2026.385,18.52118507085772,6592.425981174518
2026.438,18.873720538353982,8425.25932495415
2026.492,19.241466718994225,10882.233665547743
2026.546,19.61809884836485,14142.891048608042
2026.6,20.00387359760273,18497.851596169054
2026.654,20.399056274972203,24352.721930882853
2026.708,20.80392115804025,32277.488919121402
2026.762,21.218751840255994,43078.80890104223
2026.815,21.63587452290126,57586.4474234872
2026.869,22.071328252804285,77968.04118937353
2026.923,22.517652245863733,106364.81979588876
2026.977,22.975170932684062,146238.75711310213
2027.031,23.444220025946127,202680.28840064845
2027.085,23.92514696889475,283237.0657390128
2027.138,24.409065302350744,396636.496209246
