year,horizon_minutes
2021.0,0.1193406785582411
2021.054,0.12181321004632471
2021.108,0.12443507305373874
2021.162,0.1272136636941624
2021.215,0.1300542992690051
2021.269,0.1330632726796916
2021.323,0.1362492818774578
2021.377,0.13951157549543874
2021.431,0.1429646938233149
2021.485,0.14661887668602075
2021.538,0.1503664605978737
2021.592,0.15445327969268713
2021.646,0.15865117468998122
2021.7,0.16296316452840376
2021.754,0.1676566078736553
2021.808,0.1726213205254429
2021.862,0.17773305017839403
2021.915,0.18314053887554874
2021.969,0.1888614481184238
2022.023,0.1950685299438263
2022.077,0.201479612454234
2022.131,0.20826559748020287
2022.185,0.21545000098017628
2022.238,0.22305809983333919
2022.292,0.23129943088715735
2022.346,0.2398452545264918
2022.4,0.2490994474253289
2022.454,0.2589148334282343
2022.508,0.26932931982992653
2022.562,0.2803837697115617
2022.615,0.29235274416605483
2022.669,0.30507316870543116
2022.723,0.31884963144293926
2022.777,0.3335111514004599
2022.831,0.34912209431685837
2022.885,0.36604069956747565
2022.938,0.38438504922046896
2022.992,0.4039672258840527
2023.046,0.425217220863771
2023.1,0.44829162507747816
2023.154,0.472991068882207
2023.208,0.4998392121475608
2023.262,0.5294626248882779
2023.315,0.5612842134308706
2023.369,0.5959576716124779
2023.423,0.6337720318333313
2023.477,0.6755824006569962
2023.531,0.7212879102562391
2023.585,0.7713012700329439
2023.638,0.8267363672184805
2023.692,0.8875546547291272
2023.746,0.9543512305929847
2023.8,1.02941740268401
2023.854,1.1121409752660443
2023.908,1.2043584949033745
2023.962,1.3062815310792315
2024.015,1.4213071117407505
2024.069,1.5501248330624902
2024.123,1.695959802910683
2024.177,1.8599104625257363
2024.231,2.044542405044061
2024.285,2.2546043663348048
2024.338,2.4941048168872366
2024.392,2.765582768827282
2024.446,3.078727779465136
2024.5,3.4381597853240113
2024.554,3.851686738786676
2024.608,4.332000824319229
2024.662,4.887606560042065
2024.715,5.5406300322738655
2024.769,6.300749310737852
2024.823,7.199137255514607
2024.877,8.258123568132673
2024.931,9.517820381345771
2024.985,11.013016817049056
2025.038,12.813649446894056
2025.092,14.979405545360873
2025.146,17.60816330773849
2025.2,20.796427688706906
2025.254,24.717451778038935
2025.308,29.540401181202963
2025.362,35.527885042174866
2025.415,42.99941955367159
2025.469,52.412954047731176
2025.523,64.29170667019655
2025.577,79.42442471889053
2025.631,98.89595794469882
2025.685,124.0183107813678
2025.738,156.87760706544006
2025.792,200.17229811633769
2025.846,257.6409362448323
2025.9,334.49808564200475
2025.954,438.7583020041837
2026.008,580.9884063103846
2026.062,777.8664880297607
2026.115,1053.023670977725
2026.169,1442.4780611187357
2026.223,1997.9093346779662
2026.277,2804.564381515782
2026.331,3986.9023329481597
2026.385,5744.190817352122
2026.438,8400.986110380221
2026.492,12472.106818994038
2026.546,18810.487788472063
2026.6,28843.868605538224
2026.654,44967.64815721491
2026.708,71444.31176197148
2026.762,115679.38116325969
2026.815,191183.38268165643
2026.869,322515.21769658197
2026.923,556213.1272508168
2026.977,981444.4982261751
2027.031,1774634.0513044735
2027.085,3293483.5561698033
2027.138,6273440.911742584
