Year,Employees,Researchers_Corp,AGI_Researchers_Corp,Other_AGI_Researchers,AGI_Researchers_All_Companies,Academic_AGI,AGI_Researchers_Total
2011,59.0,47.2,15.576000000000002,4.6728000000000005,20.248800000000003,40.497600000000006,60.74640000000001
2012,70.0,56.0,18.48,5.544,24.024,50.62200000000001,74.64600000000002
2013,75.0,60.0,19.8,5.9399999999999995,25.740000000000002,63.27750000000001,89.01750000000001
2014,100.0,80.0,26.400000000000002,7.92,34.32,79.09687500000001,113.416875
2015,402.0,321.6,113.33600000000003,34.000800000000005,147.33680000000004,98.87109375000001,246.20789375000004
2016,591.0,472.8,165.0,49.5,214.5,123.58886718750001,338.0888671875
2017,780.0,624.0,216.8,65.04,281.84000000000003,154.48608398437503,436.32608398437503
2018,793.0,634.4,222.0,66.60000000000001,288.6,193.10760498046878,481.7076049804688
2019,1117.0,893.6,310.8,93.24000000000001,404.04,241.38450622558597,645.424506225586
2020,1157.0,925.6,345.64,103.69200000000001,449.332,301.7306327819825,751.0626327819825
2021,1813.0,1450.4,550.1440000000001,165.0432,715.1872000000001,377.1632909774781,1092.350490977478
2022,1901.0,1520.8000000000002,804.96,241.488,1046.448,471.4541137218476,1517.9021137218476
2023,3040.0,2090.3,1433.41,430.023,1863.433,589.3176421523095,2452.7506421523094
2024,7554.0,4347.299999999999,3248.51,974.553,4223.063,736.6470526903869,4959.710052690387
