alias,count,mean,median,std,min,max,Q1,Q3
GPT-4o,233,68.19,40.61,67.71,0.79,380.06,19.7,99.36
Claude 3.5 Sonnet (New),370,56.43,37.84,54.4,0.19,378.19,16.55,81.2
GPT-4 0125,155,41.51,28.08,38.83,0.04,208.31,13.54,58.96
Claude 3.5 Sonnet (Old),301,44.94,25.97,46.56,0.07,243.2,7.41,71.17
gpt-3.5-turbo-instruct,4,21.77,20.3,22.51,0.44,46.04,3.81,38.26
GPT-4 Turbo,175,35.32,20.15,52.53,0.1,400.6,8.03,41.21
GPT-4 1106,231,26.39,12.18,33.22,0.07,189.73,4.14,33.43
Claude 3 Opus,195,18.17,11.52,17.48,0.02,86.18,5.37,26.72
Claude 3.7 Sonnet,448,13.34,7.69,14.5,0.22,87.45,3.7,19.18
GPT-4 0314,157,12.46,5.86,14.32,0.13,67.7,2.56,17.7
o1,414,6.28,3.95,9.08,0.25,110.35,1.33,7.42
o4-mini,477,4.78,2.45,6.85,0.06,82.65,1.0,6.21
o3,505,5.07,2.38,7.16,0.06,60.1,1.12,6.58
o1-preview,342,2.48,1.48,2.63,0.06,17.3,0.64,3.43
